title,address,location.lat,location.lng,neighborhood,postalCode,ObjectId,x,y
Kiosk Derik,"Asselner Hellweg 135, 44319 Dortmund, Germany",51.5280574,7.587008,Brackel,44319,89,7.587008,51.5280574
Hoeschpark-Büdchen im Sportheim,"Kirchderner Str. 35-43, 44145 Dortmund, Germany",51.5275137,7.4909649,Innenstadt-Nord,44145,90,7.4909649,51.5275137
Titanic Kiosk,"Saarbrücker Str. 30, 44135 Dortmund, Germany",51.5158926,7.4756346,Dortmund Innenstadt-Ost,44135,91,7.4756346,51.5158926
Malta Kiosk 2,"Harkortstraße 100, 44225 Dortmund, Germany",51.4752687,7.4343258,Hombruch,44225,92,7.4343258,51.4752687
Kiosk,"Grüne Str., 44147 Dortmund, Germany",51.5200189,7.4573551,Innenstadt-Nord,44147,93,7.4573551,51.5200189
Juwan kiosk,"Stockumer Str. 436, 44227 Dortmund, Germany",51.4817491,7.4042229,Hombruch,44227,94,7.4042229,51.4817491
Persische Kiosk Dortmund,"Ernst-Mehlich-Straße 7, 44141 Dortmund, Germany",51.507172,7.4731,Dortmund Innenstadt-Ost,44141,95,7.4731,51.507172
DLO Kiosk,"Preußische Str. 200, 44339 Dortmund, Germany",51.5540131,7.4927646,Eving,44339,96,7.4927646,51.5540131
Nordmarkt Kiosk Trinkhalle,"Nordmarkt 11, 44145 Dortmund, Germany",51.5258848,7.4665539,Innenstadt-Nord,44145,97,7.4665539,51.5258848
Kiosk Aram,"Hänselweg 21, 44339 Dortmund, Germany",51.55833,7.4876291,Eving,44339,98,7.4876291,51.55833
Tims Kiosk,"Heiliger Weg 44, 44135 Dortmund, Germany",51.5110839,7.4747661,Dortmund Innenstadt-Ost,44135,99,7.4747661,51.5110839
Kiosk,"Kirchhörder Str. 118, 44229 Dortmund, Germany",51.4570452,7.4743908,Hombruch,44229,100,7.4743908,51.4570452
